,TOTHHI (1),TOTHHI (2),TOTOFI (1),TOTOFI (2),FARMBUSI (1),FARMBUSI (2),FARMHHI (1),FARMHHI (2)
PROG_Arc,2.1774***,1.9880***,0.0127,-0.0289,3.1569***,2.8309***,2.1647***,2.0170***
,(0.3212),(0.3305),(0.2963),(0.2949),(0.2867),(0.3168),(0.1846),(0.2021)
PROG_COVID,0.0000,0.0000***,0.0000,0.0000***,0.0000,0.0000***,0.0000,0.0000***
,(0.0000),(0.0000),(0.0000),(0.0000),(0.0000),(0.0000),(0.0000),(0.0000)
PROG_DCP/ACRE,2.2212***,1.9967***,-0.2792***,-0.3286***,4.2315***,3.8450***,2.5004***,2.3252***
,(0.2736),(0.2894),(0.1024),(0.1028),(0.5647),(0.5818),(0.2431),(0.2595)
PROG_Insurance,0.5728***,0.5573***,-0.0165*,-0.0199**,0.7564***,0.7297***,0.5893***,0.5772***
,(0.0943),(0.0937),(0.0086),(0.0096),(0.0828),(0.0748),(0.0941),(0.0933)
PROG_MFP,0.8374***,0.7837***,-0.1054***,-0.1172***,1.5079***,1.4154***,0.9428***,0.9009***
,(0.1376),(0.1392),(0.0374),(0.0380),(0.2065),(0.2096),(0.1261),(0.1278)
PROG_PLC,1.2312***,1.0635***,-0.0787,-0.1156,1.7362***,1.4475***,1.3099***,1.1791***
,(0.2044),(0.2164),(0.1124),(0.1122),(0.2387),(0.2622),(0.1770),(0.1900)
R-squared,0.0121,0.0139,0.0002,0.0005,0.0232,0.0274,0.0197,0.0213
R-squared Adj.,0.0120,0.0138,0.0002,0.0005,0.0232,0.0274,0.0197,0.0213
TotAcresOper,,6.7798**,,1.4922***,,11.6722***,,5.2876*
,,(2.9768),,(0.5086),,(4.4150),,(2.8039)
const,159188.9150***,152846.5767***,82094.4429***,80698.5139***,87125.5060***,76206.4847***,77094.4721***,72148.0628***
,(2210.2294),(3184.8907),(1392.5787),(1425.6349),(2610.0213),(4031.5658),(1740.5865),(2776.9577)
N,90368,90368,90368,90368,90368,90368,90368,90368
Adjusted R2,0.01,0.01,0.00,0.00,0.02,0.03,0.02,0.02
