,OffFarmHHIncome,OffFarmHHIncome,OffFarmHHIncome,FARMHHI,FARMHHI,FARMHHI,TOTHHI,TOTHHI,TOTHHI,FarmHHIncome,FarmHHIncome,FarmHHIncome,TotHHIncome,TotHHIncome,TotHHIncome
,(1),(2),(3),(1),(2),(3),(1),(2),(3),(1),(2),(3),(1),(2),(3)
PROG_Arc,0.054,0.016,0.124,2.311***,2.147***,2.105***,2.365***,2.164***,2.230***,1.503***,1.367***,1.318***,1.557***,1.384***,1.442***
,(0.316),(0.314),(0.334),(0.199),(0.219),(0.226),(0.341),(0.352),(0.370),(0.188),(0.208),(0.214),(0.347),(0.357),(0.376)
PROG_DCP/ACRE,-0.258**,-0.302***,-0.118,2.613***,2.420***,2.662***,2.355***,2.117***,2.544***,1.800***,1.640***,1.858***,1.542***,1.337***,1.740***
,(0.107),(0.106),(0.114),(0.254),(0.273),(0.287),(0.285),(0.304),(0.322),(0.251),(0.270),(0.283),(0.283),(0.301),(0.318)
PROG_Insurance,-0.016*,-0.019**,-0.018*,0.599***,0.586***,0.585***,0.582***,0.566***,0.567***,0.591***,0.580***,0.579***,0.575***,0.561***,0.561***
,(0.008),(0.009),(0.010),(0.097),(0.096),(0.096),(0.097),(0.096),(0.096),(0.095),(0.094),(0.094),(0.095),(0.095),(0.094)
PROG_MFP,-0.106***,-0.117***,-0.195***,0.964***,0.916***,1.022***,0.859***,0.800***,0.827***,0.165,0.126,0.246*,0.060,0.009,0.051
,(0.040),(0.040),(0.062),(0.131),(0.133),(0.144),(0.143),(0.145),(0.163),(0.130),(0.133),(0.142),(0.145),(0.147),(0.165)
PROG_PLC,-0.064,-0.096,-0.155,1.340***,1.198***,1.288***,1.276***,1.102***,1.133***,0.365**,0.248,0.351*,0.301,0.152,0.196
,(0.115),(0.115),(0.122),(0.184),(0.198),(0.199),(0.211),(0.225),(0.228),(0.176),(0.191),(0.191),(0.207),(0.220),(0.224)
R-squared,0.000,0.000,0.004,0.021,0.022,0.028,0.013,0.015,0.021,0.011,0.012,0.018,0.007,0.008,0.014
R-squared Adj.,0.000,0.000,0.004,0.021,0.022,0.028,0.013,0.015,0.021,0.011,0.012,0.018,0.007,0.008,0.014
TotAcresOper,,1.362***,1.089**,,5.934*,5.941*,,7.296**,7.030**,,4.908,4.957,,6.270*,6.046*
,,(0.483),(0.472),,(3.177),(3.259),,(3.346),(3.411),,(3.079),(3.159),,(3.241),(3.307)
const,82092.342***,80876.196***,57743.742***,77147.427***,71848.099***,49288.872***,159239.769***,152724.295***,107032.613***,69867.810***,65484.698***,42770.221***,151960.153***,146360.894***,100513.963***
,(1395.586),(1439.377),(3965.292),(1792.562),(2966.649),(14243.033),(2250.358),(3360.077),(14696.077),(1776.375),(2884.776),(14156.745),(2250.294),(3290.233),(14620.947)
N,86856,86856,86856,86856,86856,86856,86856,86856,86856,86856,86856,86856,86856,86856,86856
Adjusted R2,0.00,0.00,0.00,0.02,0.02,0.03,0.01,0.01,0.02,0.01,0.01,0.02,0.01,0.01,0.01
fe,,,interacted,,,interacted,,,interacted,,,interacted,,,interacted
