,(1),(2),(3)
R-squared,0.0273,0.0415,0.0469
R-squared Adj.,0.0272,0.0414,0.0468
TotAcresOper,,0.0000***,0.0000***
,,(0.0000),(0.0000)
TotHHIncome,,0.0000***,0.0000***
,,(0.0000),(0.0000)
const,-0.0823***,-0.1104***,-0.1255***
,(0.0028),(0.0034),(0.0030)
log_PROG_Arc,0.0706***,0.0621***,0.0216***
,(0.0040),(0.0040),(0.0012)
log_PROG_DCP/ACRE,0.0791***,0.0679***,0.0232***
,(0.0038),(0.0038),(0.0015)
log_PROG_Insurance,0.0415***,0.0335***,0.0156***
,(0.0048),(0.0049),(0.0015)
log_PROG_MFP,0.0701***,0.0635***,0.0259***
,(0.0076),(0.0076),(0.0022)
log_PROG_PLC,0.0617***,0.0549***,0.0214***
,(0.0052),(0.0052),(0.0016)
pos_PROG_Arc,-0.4985***,-0.4317***,-0.0445***
,(0.0364),(0.0363),(0.0091)
pos_PROG_DCP/ACRE,-0.5933***,-0.5035***,-0.0910***
,(0.0337),(0.0340),(0.0116)
pos_PROG_Insurance,-0.2880***,-0.2224***,-0.0107
,(0.0478),(0.0478),(0.0104)
pos_PROG_MFP,-0.5089***,-0.4452***,-0.0480**
,(0.0787),(0.0785),(0.0198)
pos_PROG_PLC,-0.4377***,-0.3884***,-0.0349***
,(0.0490),(0.0487),(0.0114)
N,86856,86856,86856
Adjusted R2,0.03,0.04,0.05
